Gene stable ID,Gene name,Gene start (bp),Gene end (bp)
ENSG00000277375,KIR2DP1,54754958,54767824
ENSG00000276433,KIR3DL3,54724498,54736060
ENSG00000278495,KIR2DL1,54769810,54784323
ENSG00000274708,U6,54882533,54882639
ENSG00000277552,KIR3DL3,54724203,54736221
ENSG00000275112,LILRP1,54700593,54700905
ENSG00000274130,AC245128.17,54703952,54704235
ENSG00000276247,LILRP2,54707916,54713453
ENSG00000278152,AL133414.10,54738439,54769215
ENSG00000274639,KIR3DL3,54724479,54736534
ENSG00000277620,KIR3DL3,54724450,54736092
ENSG00000274807,KIR2DS4,54832788,54848156
ENSG00000273670,LILRP1,54700593,54700905
ENSG00000277885,KIR2DS2,54738243,54752150
ENSG00000274920,KIR3DL1,54860886,54875194
ENSG00000277456,AC245128.49,54703952,54704235
ENSG00000273528,LILRP2,54707916,54713453
ENSG00000276011,KIR2DL2,54754397,54768727
ENSG00000276004,KIR3DL2,54850300,54867064
ENSG00000275937,KIR2DL5B,54770973,54780252
ENSG00000276084,KIR3DL3,54724447,54736085
ENSG00000278306,KIR2DS3,54782354,54796789
ENSG00000275795,GU182339.2,54799171,54811528
ENSG00000274518,GU182357.3,54738519,54752638
ENSG00000276820,KIR2DL1,54813971,54828213
ENSG00000277691,GU182338.4,54786460,54798282
ENSG00000278731,GU182357.10,54754673,54769220
ENSG00000277835,KIR3DP1,54830630,54842447
ENSG00000274545,LILRP1,54700593,54700905
ENSG00000278414,GU182357.9,54771198,54780682
ENSG00000278360,AC245128.58,54703952,54704235
ENSG00000278288,LILRP2,54707923,54713345
ENSG00000274243,GU182357.1,54782617,54797414
ENSG00000275732,KIR2DL4,54847612,54858688
ENSG00000275317,KIR2DL4,54803627,54814543
ENSG00000276459,KIR2DL3,54738512,54753028
ENSG00000278490,KIR3DL3,54724454,54736547
ENSG00000276013,GU182357.5,54799595,54812147
ENSG00000274947,KIR2DS4,54832654,54848283
ENSG00000277616,KIR2DL1,54814388,54828892
ENSG00000275225,GU182354.2,54754999,54767347
ENSG00000278248,KIR2DL1,54769801,54784302
ENSG00000278442,KIR3DL2,54850442,54867200
ENSG00000274402,KIR2DL3,54738465,54752989
ENSG00000274476,KIR2DP1,54754923,54767817
ENSG00000273661,AL133414.2,54754679,54769001
ENSG00000277833,KIR2DL1,54769756,54784259
ENSG00000273881,LILRP1,54700593,54700905
ENSG00000276518,KIR3DP1,54771247,54784650
ENSG00000274945,KIR2DL4,54848094,54859121
ENSG00000277940,AC245128.54,54703952,54704235
ENSG00000275289,LILRP2,54707916,54713453
ENSG00000274193,KIR2DL4,54789815,54800891
ENSG00000277596,GU182343.8,54727609,54736462
ENSG00000276139,GU182349.4,54738560,54752721
ENSG00000278369,KIR2DL3,54738530,54753070
ENSG00000274788,LILRP2,54709037,54713341
ENSG00000275021,U6,54868796,54868902
ENSG00000275546,GU182349.2,54754663,54769262
ENSG00000274480,KIR3DL3,54724486,54736514
ENSG00000275245,GU182354.3,54786437,54797952
ENSG00000275456,KIR2DL4,54803616,54814523
ENSG00000274707,GU182343.2,54755098,54764695
ENSG00000276254,GU182351.8,54877174,54891588
ENSG00000275255,KIR3DP1,54786292,54798222
ENSG00000275452,KIR2DS2,54738501,54769226
ENSG00000275887,KIR3DP1,54771283,54784696
ENSG00000276501,KIR3DL1,54861074,54875379
ENSG00000275168,U6,54868924,54869030
ENSG00000278606,KIR2DL4,54803296,54814484
ENSG00000274563,GU182343.1,54766539,54781397
ENSG00000277076,KIR2DL4,54789863,54800933
ENSG00000275059,GU182343.3,54783578,54795926
ENSG00000274465,KIR3DS1,54860636,54875223
ENSG00000275080,KIR2DL1,54798381,54812886
ENSG00000278856,KIR3DL1,54816482,54830789
ENSG00000275659,KIR3DL1,54814901,54878560
ENSG00000276534,AL133414.8,54802839,54817200
ENSG00000275786,KIR3DL1,54816499,54830812
ENSG00000275486,KIR3DL1,54816441,54830746
ENSG00000274324,KIR2DS4,54877320,54892899
ENSG00000278345,GU182343.9,54814919,54820584
ENSG00000276044,KIR2DL4,54833799,54844782
ENSG00000277725,KIR2DL2,54754632,54769000
ENSG00000274610,KIR3DP1,54771258,54784662
ENSG00000275237,KIR2DL4,54789912,54800893
ENSG00000278116,KIR2DL5A,54877311,54886807
ENSG00000275500,GU182339.1,54888671,54903107
ENSG00000276327,KIR2DS1,54905478,54919948
ENSG00000274676,AL133414.5,54819459,54828923
ENSG00000276882,KIR3DL2,54921821,54938615
ENSG00000276423,KIR3DL1,54802859,54817155
ENSG00000277650,AL133414.9,54830903,54845777
ENSG00000275351,KIR2DS4,54832726,54848250
ENSG00000273517,AL133414.1,54847867,54861881
ENSG00000273735,KIR3DL2,54864204,54872914
ENSG00000275083,KIR3DL2,54850406,54867200
ENSG00000274146,KIR3DL1,54802891,54817199
ENSG00000277078,KIR2DS4,54863003,54878657
ENSG00000278474,KIR3DL2,54880532,54897308
ENSG00000276154,KIR2DS4,54832687,54848602
ENSG00000274597,U6,54940339,54940445
ENSG00000274714,KIR2DS4,54819131,54834528
ENSG00000276357,KIR3DL2,54850475,54867233
ENSG00000274722,KIR3DL2,54836820,54853592
ENSG00000276985,FCAR,54945648,54961872
ENSG00000282650,MEIOB,1874025,1886319
ENSG00000277921,LILRP1,54700593,54700905
ENSG00000276885,KIR2DS4,54832710,54847746
ENSG00000276552,U6,54899032,54899138
ENSG00000282469,LINC00254,1880310,1886269
ENSG00000274009,AC245128.14,54703952,54704235
ENSG00000282069,LINC02124,1891136,1892455
ENSG00000274842,LILRP2,54707916,54713453
ENSG00000276333,HS3ST6,1913487,1920464
ENSG00000275629,KIR3DL2,54849620,54866390
ENSG00000276328,KIR3DL3,54724453,54736091
ENSG00000276209,KIR2DS4,54819179,54834168
ENSG00000277630,BX072566.1,108007,139659
ENSG00000273752,U6,54855316,54855422
ENSG00000278656,KIR3DL2,54836668,54853397
ENSG00000278411,U6,54868957,54869063
ENSG00000275269,FCAR,54860626,54876850
ENSG00000277554,KIR2DL3,54738470,54752993
ENSG00000274942,KIR2DP1,54754928,54766523
ENSG00000275276,KIR2DL1,54769704,54783960
ENSG00000278793,U6,127840,127946
ENSG00000278325,LILRP1,54700593,54700905
ENSG00000276974,AC245128.41,54703952,54704235
ENSG00000274826,LILRP2,54707916,54713453
ENSG00000278063,U6,54868122,54868228
ENSG00000276930,KIR3DL3,54724479,54736536
ENSG00000277392,KIR3DL3,54724479,54736494
ENSG00000274163,KIR3DP1,54786260,54790260
ENSG00000278074,KIR2DL4,54803565,54814279
ENSG00000274771,U6,54855129,54855235
ENSG00000275970,FCAR,54873427,54889651
ENSG00000275321,AC010329.3,20674923,20696533
ENSG00000280030,AC010329.4,20746923,20755250
ENSG00000275050,ZNF66,20776304,20807420
ENSG00000278025,NCR1,54977550,54981465
ENSG00000274108,KIR2DL3,54738481,54752986
ENSG00000278329,KIR2DP1,54754958,54767306
ENSG00000280428,BNIP3P24,20784596,20785152
ENSG00000277317,KIR2DL3,54738506,54752764
ENSG00000274449,AC008463.2,20815244,20822244
ENSG00000274106,AC008463.1,20844829,20853768
ENSG00000277356,KIR2DL1,54769746,54783981
ENSG00000273522,KIR2DP1,54755023,54767371
ENSG00000278755,KIR2DL1,54769814,54784135
ENSG00000278091,ZNF85,20929638,20957113
ENSG00000275751,KIR3DP1,54786398,54798220
ENSG00000273518,KIR3DL1,54816451,54830756
ENSG00000277750,KIR2DL4,54803572,54814476
ENSG00000277742,KIR3DP1,54786355,54790318
ENSG00000275699,KIR2DL4,54803535,54814517
ENSG00000277334,NCR1,54892528,54896443
ENSG00000279318,AC008739.2,20933201,20935130
ENSG00000277976,KRT18P40,20967473,20971556
ENSG00000279974,AC008739.7,20978678,20989626
ENSG00000278780,ZNF430,21027036,21043218
ENSG00000278368,KIR3DL1,54816432,54830744
ENSG00000276450,NCR1,54905329,54909244
ENSG00000275288,KIR3DL1,54816438,54830737
ENSG00000278625,U6,51009,51114
ENSG00000275938,KIR2DS4,54832765,54848078
ENSG00000278726,KIR3DL2,54850439,54867235
ENSG00000277894,LILRP1,54700593,54700905
ENSG00000278432,AC245128.59,54703952,54704235
ENSG00000273666,LILRP2,54707916,54713453
ENSG00000274406,KIR2DS4,54832654,54848284
ENSG00000274394,KIR3DL3,54724479,54736497
ENSG00000275262,KIR3DL2,54850443,54867215
ENSG00000276465,KIR2DS4,54832686,54848263
ENSG00000275737,GU182347.5,54738502,54752797
ENSG00000276731,GU182347.8,54754688,54769216
ENSG00000278710,KIR3DL2,54850408,54867186
ENSG00000278481,GU182347.13,54771247,54780763
ENSG00000277163,GU182347.9,54782627,54797062
ENSG00000276279,KIR2DP1,54799416,54812309
ENSG00000273929,U6,54868959,54869065
ENSG00000275522,KIR2DL1,54814247,54828575
ENSG00000278691,KIR3DP1,54830903,54842719
ENSG00000277540,KIR2DL4,54837484,54858960
ENSG00000277153,RNU6-222P,54868939,54869045
ENSG00000277567,U6,54868910,54869016
ENSG00000276858,FCAR,54874219,54890443
ENSG00000275037,GU182347.2,54860882,54875495
ENSG00000275531,Metazoa_SRP,153700659,153700956
ENSG00000262767,GEMIN2P1,153713833,153714877
ENSG00000276295,Metazoa_SRP,153721328,153721625
ENSG00000262994,AC217323.2,153734523,153735546
ENSG00000262469,Y_RNA,153743483,153743584
ENSG00000278788,SBNO2,1107635,1156979
ENSG00000262826,INTS3,153745298,153792039
ENSG00000275521,NCR1,54906121,54910036
ENSG00000276177,GU182347.6,54877583,54887079
ENSG00000278086,GU182347.11,54888943,54903379
ENSG00000275306,GU182347.3,54905771,54920219
ENSG00000278403,KIR3DL2,54922093,54938887
ENSG00000274891,TRAPPC12,3401777,3486461
ENSG00000263090,KRTAP9-2,41226648,41227652
ENSG00000262749,KRTAP9-3,41232462,41233453
ENSG00000267208,AC209539.4,41238001,41238465
ENSG00000262512,KRTAP9-4,41249619,41250585
ENSG00000267728,KRTAP9-9,41255319,41256311
ENSG00000280770,AC216281.1,3427276,3427885
ENSG00000281723,AC114810.2,3498320,3498795
ENSG00000267635,AC209539.5,41265358,41265882
ENSG00000263103,KRTAP9-10P,41270282,41270488
ENSG00000274623,U6,54940611,54940717
ENSG00000280830,ADI1,3498728,3502360
ENSG00000262218,KRTAP29-1,41291504,41292529
ENSG00000263130,AL513523.7,153764082,153768458
ENSG00000263275,AL513523.8,153768214,153769407
ENSG00000269823,AL513523.9,153789602,153791310
ENSG00000263163,SLC27A3,153791585,153797388
ENSG00000262710,Y_RNA,153802951,153803052
ENSG00000262299,AL513523.6,153812404,153819322
ENSG00000261992,GATAD2B,153821956,153845579
ENSG00000282507,AC236756.1,157741015,157742461
ENSG00000281157,ARHGEF26-AS1,154119686,154121332
ENSG00000262025,AL513523.5,153869337,153870645
ENSG00000277101,ARHGEF26,154121003,154261004
ENSG00000278573,AC007325.3,59711,60316
ENSG00000276017,AC007325.1,72411,74814
ENSG00000278817,AC007325.4,131494,137392
ENSG00000277196,AC007325.2,138082,161852
ENSG00000281763,DHX36,154275723,154284039
ENSG00000276274,RNU6-1266P,77776951,77777055
ENSG00000282534,IMPDH1P5,77780337,77781876
ENSG00000282233,AL450306.2,77782866,77793176
ENSG00000274429,DLG5,77790791,77926526
ENSG00000281935,DNAH10,123826687,123935766
ENSG00000275035,CCDC92,123918723,123946006
ENSG00000276999,AC123912.3,21655154,21656539
ENSG00000275051,PIWIL1,130337887,130372618
ENSG00000280066,MTDHP4,21687036,21687706
ENSG00000279280,CCNYL6,21719001,21719670
ENSG00000280218,VN1R84P,21729280,21729514
ENSG00000274746,ZNF100,21732245,21777028
ENSG00000281954,AC208069.1,123927107,123935036
ENSG00000279112,BRI3BPP1,21760226,21762917
ENSG00000280271,AC092364.5,21778251,21803339
ENSG00000279614,AC092364.3,21809967,21810673
ENSG00000279566,ZNF43,21814429,21818511
ENSG00000282690,AL391421.2,77866875,77869610
ENSG00000276516,RN7SL284P,77912271,77912545
ENSG00000282770,DLG5-AS1,77927372,77929824
ENSG00000264450,AC004231.3,40850800,40863282
ENSG00000263243,KRT12,40861303,40867210
ENSG00000282480,AC127071.4,130350996,130351707
ENSG00000282766,AC217627.1,130383653,130384179
ENSG00000263057,KRT20,40875941,40885227
ENSG00000262487,AC037482.2,40921430,40976053
ENSG00000263309,KRT23,40922696,40937634
ENSG00000262164,KRT39,40958544,40967019
ENSG00000262845,KRT40,40977843,40987262
ENSG00000263101,KRTAP3-3,40993557,40994260
ENSG00000263296,KRTAP3-2,40999320,41000021
ENSG00000262616,KRTAP3-4P,41004608,41004887
ENSG00000262068,KRTAP3-1,41008648,41019451
ENSG00000261862,KRTAP1-5,41026153,41027329
ENSG00000263242,KRTAP1-4,41029824,41030231
ENSG00000262347,KRTAP1-3,41034011,41034982
ENSG00000262808,KRTAP1-1,41040684,41041586
ENSG00000261852,KRTAP2-1,41046666,41047441
ENSG00000262731,AC037482.5,41054623,41055489
ENSG00000262862,KRTAP2-3,41059470,41060344
ENSG00000263091,KRTAP2-4,41065346,41066109
ENSG00000262376,KRTAP2-5P,41072178,41072573
ENSG00000266286,AC037482.6,41084386,41085542
ENSG00000261968,KRTAP4-8,41097371,41098544
ENSG00000262520,KRTAP4-16,41101921,41102628
ENSG00000262121,KRTAP4-9,41105751,41106907
ENSG00000263229,KRTAP4-11,41117663,41118842
ENSG00000263236,KRTAP4-12,41123559,41124635
ENSG00000276197,AL592188.2,105287,105376
ENSG00000274917,RNA5-8SN5,112025,112177
ENSG00000273937,AL592188.1,149259,149348
ENSG00000273730,5_8S_rRNA,155997,156149
ENSG00000281617,AC073135.6,198053522,198080720
ENSG00000275517,PRB1,11351822,11356402
ENSG00000274706,RNU6-821P,198071311,198071417
ENSG00000281062,AC240720.1,198106449,198108214
ENSG00000281503,AC240720.2,198116056,198117113
ENSG00000281577,AC240720.3,198117723,198119668
ENSG00000276938,AC073135.4,198148759,198166452
ENSG00000281496,AC073135.5,198177148,198186438
ENSG00000278747,U6,198193139,198193242
ENSG00000267639,AC073135.3,198219890,198222703
ENSG00000276307,LILRP1,54700593,54700905
ENSG00000267237,AC073135.2,198224587,198224769
ENSG00000273918,AC245128.12,54703952,54704235
ENSG00000273883,LILRP2,54707916,54713453
ENSG00000274763,KIR3DL3,54724452,54736131
ENSG00000276512,GU182353.6,54707913,54713335
ENSG00000274254,KIR3DL3,54724478,54736626
ENSG00000275623,KIR2DL3,54738461,54752744
ENSG00000278614,KIR2DP1,54755019,54767464
ENSG00000278821,KIR2DL1,54769815,54784318
ENSG00000275253,GU182353.3,54738498,54752702
ENSG00000277251,GU182353.7,54754680,54769221
ENSG00000275593,KIR3DP1,54786351,54798281
ENSG00000280839,CES5AP1,23359603,23387731
ENSG00000278430,KIR2DL4,54803354,54814544
ENSG00000262214,KRTAP9-12P,41212710,41213241
ENSG00000262573,KRTAP9-2,41226627,41227631
ENSG00000262896,KRTAP9-4,41238317,41239283
ENSG00000262594,KRTAP9-9,41244014,41244994
ENSG00000263263,KRTAP9-6,41253969,41255271
ENSG00000262946,KRTAP9-11P,41259941,41260465
ENSG00000262221,KRTAP9-7,41264289,41265327
ENSG00000281076,ZDHHC8P1,23390606,23402726
ENSG00000263115,KRTAP9-10P,41269234,41269440
ENSG00000262542,KRTAP29-1,41290456,41291481
ENSG00000274971,GU182353.2,54771253,54784657
ENSG00000281149,AP000344.2,23392771,23393839
ENSG00000280986,LINC01659,23433564,23435071
ENSG00000278271,KIR2DL4,54789822,54800920
ENSG00000281374,AP000344.6,23446598,23460833
ENSG00000274657,FAM230I,23462086,23486981
ENSG00000281077,LINC02557,23536736,23537844
ENSG00000277175,KIR3DL1,54816466,54830808
ENSG00000279612,AC110597.3,67457499,67458554
ENSG00000263322,AC110597.2,67551243,67554415
ENSG00000278427,KIR3DL1,54802842,54817184
ENSG00000262102,DSEL,67576031,67586429
ENSG00000282220,AC110597.5,67576038,67583479
ENSG00000261958,OR9G1,56700386,56701303
ENSG00000262191,OR9G9,56711466,56712383
ENSG00000282112,AC110597.4,67585995,67586198
ENSG00000281683,AP001803.7,56747390,56747536
ENSG00000262268,OR9G3P,56751253,56752170
ENSG00000262647,OR9G4,56753901,56754885
ENSG00000281777,OR9G2P,56762097,56762976
ENSG00000281313,OR5G1P,56786335,56787280
ENSG00000281279,OR5G4P,56801280,56802039
ENSG00000262535,OR5G5P,56812930,56831496
ENSG00000281107,OR5G3,56830655,56831590
ENSG00000281839,LINC02735,56859642,56882325
ENSG00000274957,KIR2DS4,54832707,54848622
ENSG00000278361,KIR3DL2,54850495,54867253
ENSG00000275731,KIR2DS4,54819083,54833565
ENSG00000275626,KIR3DL2,54835435,54852194
ENSG00000277642,U6,54868977,54869083
ENSG00000282347,AC100797.3,725188,725877
ENSG00000282665,ERICH1,731140,738106
ENSG00000282103,DLGAP2,737651,824587
ENSG00000282245,AC100797.2,738548,740374
ENSG00000273546,LILRP1,54700593,54700905
ENSG00000276994,AC245128.42,54703952,54704235
ENSG00000273922,LILRP2,54707916,54713453
ENSG00000276086,KIR3DL3,54724481,54736671
ENSG00000281942,AC068473.6,79576460,79589010
ENSG00000281995,AC215996.1,79610642,79612198
ENSG00000275735,GU182355.7,54738547,54752855
ENSG00000282606,AC068473.9,79644682,79685499
ENSG00000282330,AC068473.8,79683041,79685112
ENSG00000278692,GU182355.10,54754729,54769262
ENSG00000278277,GU182355.9,54771294,54784697
ENSG00000282752,CTDP1,79685555,79723770
ENSG00000273498,KIR2DL4,54789862,54800938
ENSG00000277428,Y_RNA,37434,37534
ENSG00000276256,AC011043.1,42939,49164
ENSG00000278198,AC011043.2,173872,179372
ENSG00000281949,AC068473.7,79708475,79709405
ENSG00000282429,AC208322.1,51687527,51688210
ENSG00000275608,GU182355.6,54802886,54817473
ENSG00000275596,GU182355.5,54819506,54828970
ENSG00000275047,GU182355.3,54830927,54845947
ENSG00000273603,GU182355.2,54847887,54862123
ENSG00000275511,KIR3DL2,54864251,54881045
ENSG00000280559,AC106795.6,177870853,177871194
ENSG00000278666,AC106795.4,177875522,177950732
ENSG00000275782,U6,54882769,54882875
ENSG00000280647,AC106795.7,177939622,177983334
ENSG00000281644,AC106795.9,177950335,177963960
ENSG00000280971,AC236592.1,177967004,177967457
ENSG00000281351,SUDS3P1,177971313,177972279
ENSG00000274382,PROP1,177992545,177996421
ENSG00000281020,SNTG2,1316265,1365970
ENSG00000281232,AC108489.1,1340838,1344763
ENSG00000262453,AL022318.3,38921227,38924708
ENSG00000262536,AC192820.1,38949113,38949127
ENSG00000262156,APOBEC3A,38952742,38962839
ENSG00000277603,TPO,1372594,1540021
ENSG00000262679,APOBEC3B-AS1,38961611,38968270
ENSG00000280759,AP2A2,940735,1012239
ENSG00000282649,SEPTIN9-DT,77269359,77293519
ENSG00000282753,AC068594.2,77275802,77276398
ENSG00000274980,RNU6-1025P,948421,948524
ENSG00000282302,SEPTIN9,77292191,77306525
ENSG00000277518,MUC6,1012821,1043528
ENSG00000276777,ARMC4P1,27288669,27288857
ENSG00000278036,U6,27315120,27315226
ENSG00000281464,AC106795.8,177870853,177871194
ENSG00000275336,AL355493.3,27378657,27388552
ENSG00000273501,U6,27382801,27382907
ENSG00000273681,FAM210CP,27397017,27397590
ENSG00000278364,TRIAP1P1,27425438,27425662
ENSG00000275495,AC114936.2,177875522,177955274
ENSG00000276595,PTCHD3,27445487,27461668
ENSG00000281081,AC114936.4,177944158,177987099
ENSG00000281048,AC114936.3,177954877,177967034
ENSG00000275326,NOSTRIN,168831472,168865516
ENSG00000281513,AC114936.5,177970078,177970531
ENSG00000274681,SUDS3P1,177974393,177975358
ENSG00000280635,PROP1,177996182,177996994
ENSG00000277909,SPC25,168834132,168930360
ENSG00000263270,AC093689.2,34657606,34669432
ENSG00000278373,G6PC2,168918229,168926984
ENSG00000276582,ABCB11,168939927,168953422
ENSG00000280784,AL121956.4,166229334,166229554
ENSG00000280765,AL121956.3,166236969,166256947
ENSG00000280557,GNG5P1,166240290,166240493
ENSG00000280898,AC233714.1,166275457,166277068
ENSG00000281151,KCNQ2,63414903,63466150
ENSG00000281914,AL353658.2,63422269,63424555
ENSG00000281651,KCNQ2-AS1,63449173,63450451
ENSG00000280618,CYFIP1,22903706,22981018
ENSG00000278476,RPL21P36,36299388,36299830
ENSG00000279215,CRIM1-DT,36360778,36361147
ENSG00000277354,CRIM1,36361959,36362656
ENSG00000281690,ADAMTS12,33842143,33894178
ENSG00000277091,U6,33890040,33890146
ENSG00000277069,RXFP3,33938372,33940223
ENSG00000281919,SLC45A2,33946602,33956490
ENSG00000276856,TUBGCP5,22983146,23039654
ENSG00000277271,GU182352.8,54707923,54712937
ENSG00000275062,KIR3DL3,54723963,54736023
ENSG00000278759,TBCD,82923652,82946138
